author|title|content
IMANE RACHIDI|El ex vicepresidente del Congo exige al Tribunal Penal Internacional una compensación millonaria|Pasó 10 años en la cárcel internacional de La Haya para terminar siendo absuelto. Nada pudo demostrar que Jean-Pierre Bemba cometiese los crímenes de guerra y de lesa humanidad de los que se le acusaba cuando era vicepresidente de la República Democrática del… [+3736 chars]
MARTÍN MUCHA, JAVIER NEGRE|La ruina de Vox en Lérida y su 'vende coches' en la cárcel|Manoli Asto, una peruana vegetariana, aterrizaba en un vuelo de Easyjet en Cataluña procedente de Londres el miércoles de la pasada semana. Llegaba después de haber pasado varios meses en la City con sus hijas y buscar ser examinadora del Instituto Cervantes.… [+8514 chars]
NATALIA PUGA|Una cooperante gallega y un ingeniero catalán, los dos españoles fallecidos en el accidente aéreo de Etiopía|La gallega Pilar Martínez Docampo, de 32 años y natural del municipio de Cangas do Morrazo (Pontevedra) y el ingeniero químico Jordi Dalmau, de 46 años y de Granollers (Barcelona) son las dos víctimas españolas del accidente del avión de pasajeros de la compa… [+1709 chars]
JAIME RODRÍGUEZ|Zinedine Zidane vuelve al Real Madrid|Zinedine Zidane volverá a ser entrenador del Real Madrid. Según adelantó 'Jugones' y pudo confirmar EL MUNDO, el técnico francés será desde mañana el nuevo dueño del banquillo del Santiago Bernabéu en sustitución de Santiago Solari.  Tal y como contaba este d… [+841 chars]
EL MUNDO|Juan Sánchez-Calero será el nuevo presidente|El consejo de administración de Endesa ha propuesto a Juan Sánchez-Calero para asumir la presidencia de Endesa, relevando en el cargo a Borja Prado, que dejará el puesto en la próxima junta de accionistas después de diez años al frente de la energética.   Sán… [+2480 chars]
EFE|Más de 1.100 niños mueren en la guerra siria en 2018, el año más mortífero|Unicef ha alertado este lunes de que 1.106 niños murieron durante los combates en Siria en 2018, el año más mortífero para los pequeños desde que se inició la guerra hace casi ocho, y ha llamado a las partes del conflicto a priorizar su protección.  La direct… [+3162 chars]
EL MUNDO|Los Mossos pidieron al Govern cancelar el referéndum del 1-O y otras cinco noticias de ahora|Conforme a los criterios de  The Trust Project
AGENCIAS|"Suspenden un partido de prebenjamines porque los padres acabaron ""a cabezazos"""|Una pelea entre padres, que acabaron a cabezazos ante niños de seis y siete años, ha obligado a suspender un partido que enfrentaba este domingo en Pontevedra a los equipos AJ Lérez y la EFB Moañesa de categoría prebenjamín.  El árbitro del encuentro, Alexand… [+1474 chars]
E. M.|'Soy pobre pero digno', una nueva campaña contra Madrid Central|"""Madrid es de todos los madrileños y no puede convertirse en un búnker para los más humildes"". Con esta premisa ha arrancado hoy la campaña ""Soy pobre, pero digno"" para denunciar que Madrid Central es una una medida ""excluyente y elitista"".   Con el fin de co… [+2127 chars]"
EFE|"Almeida abandona el homenaje de Atocha al derivar en ""mitin"" contra el PP"|"El candidato del PP a la Alcaldía de Madrid, José Luis Martínez-Almeida, ha abandonado el homenaje convocado en Atocha por el 15º aniversario del 11M al considerar que el presidente de la Asociación 11-M Afectados por el Terrorismo, Eulogio Paz, ha hecho un ""… [+1601 chars]"
